,country,clusters
0,Afghanistan,1
1,Afrique du Sud,2
2,Albanie,4
3,Algérie,4
4,Allemagne,3
5,Angola,1
6,Arabie saoudite,5
7,Argentine,4
8,Arménie,4
9,Australie,3
10,Autriche,3
11,Azerbaïdjan,4
12,Bahamas,6
13,Bangladesh,2
14,Barbade,4
15,Belgique,3
16,Belize,2
17,Bolivie (État plurinational de),2
18,Bosnie-Herzégovine,4
19,Botswana,2
20,Brésil,4
21,Bulgarie,4
22,Burkina Faso,1
23,Bélarus,4
24,Bénin,1
25,Cabo Verde,2
26,Cambodge,2
27,Cameroun,1
28,Canada,3
29,Chili,4
30,Chypre,4
31,Colombie,4
32,Congo,2
33,Costa Rica,4
34,Croatie,4
35,Danemark,3
36,Djibouti,2
37,Dominique,6
38,El Salvador,2
39,Espagne,4
40,Estonie,4
41,Eswatini,2
42,Fidji,4
43,Finlande,3
44,France,3
45,Fédération de Russie,4
46,Gabon,5
47,Gambie,1
48,Ghana,1
49,Grèce,4
50,Guatemala,2
51,Guinée,1
52,Guinée-Bissau,1
53,Guyana,4
54,Géorgie,4
55,Haïti,2
56,Honduras,2
57,Hongrie,4
58,Inde,2
59,Indonésie,2
60,Iran (République islamique d'),4
61,Iraq,1
62,Irlande,3
63,Islande,3
64,Israël,3
65,Italie,4
66,Jamaïque,4
67,Japon,4
68,Jordanie,1
69,Kazakhstan,4
70,Kenya,1
71,Kirghizistan,2
72,Kiribati,4
73,Koweït,5
74,Lesotho,2
75,Lettonie,4
76,Liban,1
77,Libéria,1
78,Luxembourg,3
79,Macédoine du Nord,4
80,Madagascar,1
81,Malaisie,4
82,Malawi,1
83,Maldives,5
84,Mali,1
85,Maroc,4
86,Maurice,4
87,Mauritanie,1
88,Mexique,4
89,Mongolie,2
90,Monténégro,4
91,Mozambique,1
92,Myanmar,4
93,Namibie,2
94,Nicaragua,2
95,Niger,1
96,Nigéria,1
97,Norvège,3
98,Nouvelle-Zélande,3
99,Népal,2
100,Oman,5
101,Ouganda,1
102,Ouzbékistan,2
103,Pakistan,2
104,Panama,4
105,Paraguay,2
106,Pays-Bas,3
107,Philippines,2
108,Pologne,4
109,Portugal,4
110,Pérou,2
111,Roumanie,4
112,Royaume-Uni,3
113,Rwanda,1
114,République centrafricaine,2
115,République de Corée,4
116,République de Moldova,4
117,République dominicaine,4
118,République démocratique populaire lao,2
119,République-Unie de Tanzanie,1
120,Saint-Vincent-et-les Grenadines,6
121,Sainte-Lucie,6
122,Samoa,6
123,Sao Tomé-et-Principe,2
124,Serbie,4
125,Sierra Leone,1
126,Slovaquie,4
127,Slovénie,4
128,Soudan,2
129,Sri Lanka,2
130,Suisse,3
131,Suriname,2
132,Suède,3
133,Sénégal,1
134,Tadjikistan,1
135,Tchad,1
136,Tchéquie (la),4
137,Thaïlande,4
138,Timor-Leste,2
139,Togo,1
140,Trinité-et-Tobago,4
141,Tunisie,4
142,Turquie,4
143,Ukraine,4
144,Uruguay,4
145,Vanuatu,2
146,Viet Nam,4
147,Yémen,1
148,Zambie,1
149,Zimbabwe,2
150,Égypte,4
151,Émirats arabes unis,3
152,Équateur,2
153,États-Unis d'Amérique,3
154,Éthiopie,1
155,Îles Salomon,1
